card_account_id,cc_user_id,account_no,card_no_masked,card_type,product_type,issuing_branch_code_raw,credit_limit,current_balance,available_credit
38,30,CA-2020-0000038,4*** **** **** 7561,JCB,GOLD,BR-CT01,65076115,4422326,60653789
39,31,CA-2020-0000039,5*** **** **** 3961,MASTERCARD,INFINITE,HP-01,424113715,189437838,234675877
40,32,CA-2020-0000040,4*** **** **** 7085,VISA,CLASSIC,BR-HCM01,37548437,20248826,17299611
41,33,CA-2023-0000041,4*** **** **** 8346,JCB,CLASSIC,HP-01,38725033,19354793,19370240
42,34,CA-2023-0000042,4*** **** **** 8896,JCB,PLATINUM,HN-01,250456291,63780125,186676166
43,34,CA-2020-0000043,5*** **** **** 0326,JCB,CLASSIC,Ha Noi CN1,20963317,11557773,9405544
44,35,CA-2022-0000044,4*** **** **** 0530,JCB,PLATINUM,CAN_THO_1,156884507,50328576,106555931
45,36,CA-2021-0000045,4*** **** **** 8885,MASTERCARD,CLASSIC,CN-HCM-02,31845953,1260267,30585686
46,37,CA-2021-0000046,5*** **** **** 1791,MASTERCARD,CLASSIC,CN-HCM-02,36635187,11781109,24854078
47,38,CA-2022-0000047,5*** **** **** 4234,VISA,GOLD,HAI_PHONG_1,140073874,75555289,64518585
48,39,CA-2024-0000048,5*** **** **** 8331,MASTERCARD,PLATINUM,HN-01,227510325,22178659,205331666
49,40,CA-2020-0000049,5*** **** **** 2768,MASTERCARD,CLASSIC,HCM_Q3,20690904,11756402,8934502
50,40,CA-2024-0000050,5*** **** **** 8399,JCB,PLATINUM,CN-HCM-02,235901014,32934063,202966951
51,41,CA-2024-0000051,4*** **** **** 0148,MASTERCARD,GOLD,BR-DN01,124649691,35127533,89522158
52,42,CA-2021-0000052,4*** **** **** 3760,VISA,INFINITE,BR-HCM01,700395591,211975688,488419903
53,43,CA-2021-0000053,5*** **** **** 1513,JCB,INFINITE,Ho Chi Minh Q1,569369751,443242135,126127616
54,44,CA-2022-0000054,5*** **** **** 1130,JCB,GOLD,HN-01,120701139,89332950,31368189
55,45,CA-2020-0000055,4*** **** **** 2523,VISA,INFINITE,HN-01,617458040,37441701,580016339
56,46,CA-2023-0000056,5*** **** **** 9736,MASTERCARD,CLASSIC,Ho Chi Minh Q3,33246521,4497879,28748642
57,47,CA-2021-0000057,4*** **** **** 5523,JCB,CLASSIC,DA_NANG_1,25034992,18467840,6567152
58,47,CA-2022-0000058,4*** **** **** 8587,JCB,CLASSIC,Da Nang CN1,32797271,9861486,22935785
59,48,CA-2021-0000059,4*** **** **** 7991,MASTERCARD,GOLD,Ho Chi Minh Q3,134482568,28897599,105584969
60,49,CA-2020-0000060,5*** **** **** 4744,MASTERCARD,PLATINUM,HCM_Q1,183306382,62239883,121066499
61,50,CA-2020-0000061,5*** **** **** 0526,MASTERCARD,CLASSIC,CAN_THO_1,44851925,23063895,21788030
62,51,CA-2024-0000062,5*** **** **** 6992,VISA,GOLD,BR-HN01,57792029,48228669,9563360
63,51,CA-2020-0000063,4*** **** **** 7422,JCB,GOLD,HA_NOI_CN1,66045076,47550421,18494655
64,52,CA-2024-0000064,5*** **** **** 5780,JCB,INFINITE,BR-CT01,634732997,240724164,394008833
65,53,CA-2023-0000065,4*** **** **** 9313,MASTERCARD,GOLD,BR-CT01,97266343,53625450,43640893
66,54,CA-2021-0000066,4*** **** **** 9747,MASTERCARD,PLATINUM,HP-01,202880785,78475401,124405384
67,55,CA-2020-0000067,5*** **** **** 9084,VISA,CLASSIC,DA_NANG_1,35249274,7662726,27586548
68,55,CA-2023-0000068,4*** **** **** 8949,MASTERCARD,GOLD,BR-DN01,114298402,42811970,71486432
69,56,CA-2022-0000069,5*** **** **** 9166,JCB,CLASSIC,Ha Noi CN1,33868228,220948,33647280
70,57,CA-2023-0000070,5*** **** **** 9017,MASTERCARD,GOLD,CAN_THO_1,84259799,66264139,17995660
71,58,CA-2023-0000071,4*** **** **** 7244,MASTERCARD,PLATINUM,Hai Phong CN1,185046017,62013943,123032074
72,59,CA-2020-0000072,4*** **** **** 2671,VISA,CLASSIC,CN-HCM-02,39068014,10645165,28422849
73,60,CA-2021-0000073,4*** **** **** 7202,MASTERCARD,INFINITE,BR-DN01,568553347,490547931,78005416
74,60,CA-2020-0000074,4*** **** **** 1532,VISA,GOLD,DN-01,124922518,29105740,95816778
75,61,CA-2022-0000075,5*** **** **** 0539,MASTERCARD,PLATINUM,BR-HN01,288422797,3251886,285170911
76,62,CA-2024-0000076,5*** **** **** 3704,VISA,PLATINUM,BR-HP01,172759720,149399520,23360200
77,62,CA-2021-0000077,4*** **** **** 0497,JCB,PLATINUM,Hai Phong CN1,260796311,220238467,40557844
78,63,CA-2020-0000078,4*** **** **** 8122,VISA,PLATINUM,HCM_Q3,240161380,9204281,230957099
79,64,CA-2023-0000079,5*** **** **** 9963,JCB,GOLD,BR-CT01,87026931,31061966,55964965
80,64,CA-2024-0000080,4*** **** **** 1711,MASTERCARD,INFINITE,CAN_THO_1,441382648,170306469,271076179
81,65,CA-2020-0000081,4*** **** **** 9704,VISA,GOLD,Ha Noi CN1,104271181,40324277,63946904
82,66,CA-2020-0000082,4*** **** **** 6199,VISA,CLASSIC,BR-HP01,27796796,1929676,25867120
83,67,CA-2021-0000083,4*** **** **** 5089,JCB,PLATINUM,CAN_THO_1,187916433,124531139,63385294
84,68,CA-2021-0000084,4*** **** **** 4495,MASTERCARD,INFINITE,HN-01,716379203,231704557,484674646
85,69,CA-2021-0000085,4*** **** **** 9567,MASTERCARD,INFINITE,HAI_PHONG_1,361943690,3502345,358441345
86,70,CA-2024-0000086,4*** **** **** 4618,JCB,GOLD,DA_NANG_1,117354072,89279887,28074185
87,71,CA-2021-0000087,5*** **** **** 3652,MASTERCARD,CLASSIC,Ha Noi CN1,45161642,12105828,33055814
88,71,CA-2023-0000088,4*** **** **** 0170,MASTERCARD,INFINITE,HN-01,362320345,197810473,164509872
89,72,CA-2023-0000089,4*** **** **** 4824,JCB,PLATINUM,HAI_PHONG_1,252895585,98173376,154722209
90,73,CA-2024-0000090,4*** **** **** 9664,JCB,CLASSIC,BR-HP01,39553568,25788413,13765155
91,73,CA-2022-0000091,4*** **** **** 9082,VISA,GOLD,Hai Phong CN1,90450419,40492484,49957935
92,74,CA-2020-0000092,4*** **** **** 0510,MASTERCARD,PLATINUM,HN-01,171804995,105356728,66448267
93,75,CA-2022-0000093,4*** **** **** 0375,VISA,GOLD,BR-HN01,147046537,90351008,56695529
94,76,CA-2022-0000094,4*** **** **** 9859,JCB,CLASSIC,HCM_Q3,45204489,3622356,41582133
95,77,CA-2024-0000095,5*** **** **** 8757,JCB,CLASSIC,Da Nang CN1,48114671,536501,47578170
96,78,CA-2022-0000096,4*** **** **** 8405,MASTERCARD,CLASSIC,CAN_THO_1,31414848,19412713,12002135
97,78,CA-2020-0000097,4*** **** **** 7195,MASTERCARD,GOLD,BR-CT01,50939000,785915,50153085
98,79,CA-2024-0000098,4*** **** **** 3930,JCB,CLASSIC,BR-HN01,35386334,27425951,7960383
99,80,CA-2022-0000099,5*** **** **** 8489,VISA,CLASSIC,HCM_Q3,29665641,17251935,12413706
100,81,CA-2024-0000100,5*** **** **** 3885,VISA,PLATINUM,CAN_THO_1,293724826,168031280,125693546
101,82,CA-2021-0000101,5*** **** **** 6533,MASTERCARD,PLATINUM,HAI_PHONG_1,275590392,241953398,33636994
102,83,CA-2023-0000102,4*** **** **** 5785,MASTERCARD,PLATINUM,BR-HP01,176006786,17149121,158857665
103,84,CA-2020-0000103,5*** **** **** 9194,MASTERCARD,CLASSIC,HP-01,35245726,31361514,3884212
104,85,CA-2021-0000104,5*** **** **** 8544,JCB,PLATINUM,BR-HN01,200593555,145943626,54649929
105,86,CA-2024-0000105,4*** **** **** 2127,JCB,PLATINUM,HN-01,157904405,131789967,26114438
106,87,CA-2021-0000106,4*** **** **** 0035,JCB,CLASSIC,BR-DN01,32872205,2626772,30245433
107,88,CA-2023-0000107,4*** **** **** 3142,JCB,GOLD,Ha Noi CN1,109621072,51324,109569748
108,89,CA-2020-0000108,4*** **** **** 3339,VISA,PLATINUM,HN-01,234894441,160958349,73936092
109,90,CA-2023-0000109,5*** **** **** 4916,VISA,PLATINUM,CT-01,171863726,45390581,126473145
110,91,CA-2022-0000110,4*** **** **** 7511,VISA,INFINITE,Ha Noi CN1,538409533,280443780,257965753
111,92,CA-2024-0000111,4*** **** **** 8824,MASTERCARD,CLASSIC,HCM_Q3,34417211,7438926,26978285
112,93,CA-2023-0000112,4*** **** **** 0819,MASTERCARD,PLATINUM,BR-HP01,176454299,152005721,24448578
113,93,CA-2020-0000113,5*** **** **** 7333,MASTERCARD,INFINITE,BR-HP01,730326906,122525776,607801130
114,94,CA-2021-0000114,4*** **** **** 5677,MASTERCARD,CLASSIC,Can Tho CN1,32427652,12833707,19593945
115,95,CA-2024-0000115,5*** **** **** 8505,JCB,INFINITE,HAI_PHONG_1,601190206,335957453,265232753
116,96,CA-2024-0000116,4*** **** **** 7856,MASTERCARD,PLATINUM,BR-CT01,170672692,40124866,130547826
117,97,CA-2024-0000117,4*** **** **** 7245,MASTERCARD,PLATINUM,Ha Noi CN1,180163094,37399632,142763462
118,98,CA-2021-0000118,5*** **** **** 7545,MASTERCARD,PLATINUM,HN-01,183166554,112165805,71000749
119,98,CA-2020-0000119,5*** **** **** 1320,MASTERCARD,INFINITE,HN-01,700799697,300732302,400067395
120,99,CA-2020-0000120,4*** **** **** 1156,MASTERCARD,GOLD,HA_NOI_CN1,88482095,610465,87871630
121,100,CA-2020-0000121,4*** **** **** 8098,MASTERCARD,INFINITE,HP-01,325254571,244483271,80771300
122,101,CA-2022-0000122,5*** **** **** 3688,MASTERCARD,GOLD,Ho Chi Minh Q1,90891015,23309553,67581462
123,101,CA-2024-0000123,4*** **** **** 3282,JCB,INFINITE,HCM_Q1,643395417,451731972,191663445
124,102,CA-2023-0000124,4*** **** **** 5399,JCB,GOLD,BR-HP01,139417955,39440641,99977314
125,102,CA-2022-0000125,4*** **** **** 3259,JCB,CLASSIC,BR-HP01,23468717,19163950,4304767
126,103,CA-2024-0000126,4*** **** **** 5746,MASTERCARD,GOLD,HAI_PHONG_1,114780118,64292660,50487458
127,103,CA-2021-0000127,5*** **** **** 5223,JCB,INFINITE,HAI_PHONG_1,665328198,371670412,293657786
128,104,CA-2023-0000128,5*** **** **** 9028,JCB,CLASSIC,DA_NANG_1,20659330,15491154,5168176
129,105,CA-2020-0000129,5*** **** **** 1695,MASTERCARD,PLATINUM,HAI_PHONG_1,243188676,94300894,148887782
130,106,CA-2022-0000130,4*** **** **** 4530,JCB,INFINITE,HAI_PHONG_1,706810431,37356547,669453884
131,107,CA-2022-0000131,5*** **** **** 9261,JCB,GOLD,CN-HCM-02,74453100,51486586,22966514
132,107,CA-2024-0000132,5*** **** **** 6376,MASTERCARD,GOLD,BR-HCM02,91274205,69529740,21744465
133,108,CA-2020-0000133,4*** **** **** 3391,VISA,GOLD,BR-CT01,120885141,54264458,66620683
134,109,CA-2021-0000134,4*** **** **** 3544,MASTERCARD,PLATINUM,DA_NANG_1,285953028,69975009,215978019
135,109,CA-2024-0000135,5*** **** **** 9933,JCB,PLATINUM,BR-DN01,254696037,76777185,177918852
136,110,CA-2022-0000136,4*** **** **** 1039,JCB,PLATINUM,Ho Chi Minh Q3,171857680,124966557,46891123
137,111,CA-2023-0000137,5*** **** **** 9665,VISA,PLATINUM,Can Tho CN1,292756372,75074015,217682357
138,111,CA-2022-0000138,4*** **** **** 9457,JCB,INFINITE,CT-01,324914058,56780255,268133803
139,112,CA-2022-0000139,4*** **** **** 0808,VISA,PLATINUM,HN-01,273081066,167742561,105338505
140,112,CA-2023-0000140,4*** **** **** 9558,MASTERCARD,PLATINUM,HA_NOI_CN1,159865609,123610416,36255193
141,113,CA-2023-0000141,4*** **** **** 3064,JCB,CLASSIC,HA_NOI_CN1,36875964,24288566,12587398
142,113,CA-2023-0000142,4*** **** **** 7257,JCB,CLASSIC,Ha Noi CN1,47930589,10779443,37151146
143,114,CA-2022-0000143,5*** **** **** 8370,MASTERCARD,GOLD,Ho Chi Minh Q1,128918799,75937854,52980945
144,114,CA-2023-0000144,4*** **** **** 3286,VISA,GOLD,CN-HCM-01,69087004,2922849,66164155
145,115,CA-2024-0000145,4*** **** **** 2083,MASTERCARD,PLATINUM,BR-CT01,181795163,145745545,36049618
146,116,CA-2021-0000146,4*** **** **** 0754,JCB,INFINITE,BR-HCM01,782513715,116943478,665570237
147,117,CA-2023-0000147,5*** **** **** 7212,VISA,GOLD,CT-01,74586279,6154350,68431929
148,117,CA-2021-0000148,5*** **** **** 6924,MASTERCARD,PLATINUM,Can Tho CN1,182340302,90747634,91592668
149,118,CA-2021-0000149,4*** **** **** 6519,VISA,INFINITE,CAN_THO_1,588085754,368801630,219284124
150,119,CA-2024-0000150,4*** **** **** 8921,MASTERCARD,INFINITE,HCM_Q3,704756728,5035904,699720824
151,120,CA-2024-0000151,5*** **** **** 6695,MASTERCARD,GOLD,Hai Phong CN1,101763453,62334040,39429413
152,121,CA-2023-0000152,4*** **** **** 7763,JCB,INFINITE,DN-01,468879120,28537438,440341682
153,121,CA-2024-0000153,5*** **** **** 7528,JCB,INFINITE,DN-01,618318478,553402038,64916440
154,122,CA-2022-0000154,4*** **** **** 9954,MASTERCARD,CLASSIC,HP-01,28585308,10212641,18372667
155,123,CA-2021-0000155,5*** **** **** 0479,JCB,CLASSIC,Hai Phong CN1,25367311,14769417,10597894
156,124,CA-2021-0000156,5*** **** **** 6866,VISA,PLATINUM,BR-HN01,239728339,176046176,63682163
157,125,CA-2022-0000157,5*** **** **** 9238,JCB,PLATINUM,HN-01,250865381,209376938,41488443
158,126,CA-2021-0000158,5*** **** **** 6533,MASTERCARD,INFINITE,HAI_PHONG_1,542649667,44493877,498155790
159,127,CA-2021-0000159,5*** **** **** 2428,VISA,PLATINUM,CN-HCM-01,298343200,183635008,114708192
160,127,CA-2024-0000160,4*** **** **** 7901,MASTERCARD,CLASSIC,HCM_Q1,42833949,22538516,20295433
161,128,CA-2021-0000161,5*** **** **** 4572,MASTERCARD,INFINITE,Hai Phong CN1,580698164,239407834,341290330
162,129,CA-2024-0000162,5*** **** **** 5253,MASTERCARD,INFINITE,CT-01,386018834,163021100,222997734
163,129,CA-2022-0000163,4*** **** **** 3200,MASTERCARD,PLATINUM,CAN_THO_1,180920897,54990307,125930590
164,130,CA-2022-0000164,5*** **** **** 3327,VISA,CLASSIC,CAN_THO_1,31757002,23205575,8551427
165,131,CA-2023-0000165,4*** **** **** 7568,VISA,CLASSIC,BR-CT01,48771389,27981369,20790020
166,132,CA-2022-0000166,4*** **** **** 0989,VISA,INFINITE,Can Tho CN1,403183919,336663197,66520722
167,132,CA-2023-0000167,5*** **** **** 4135,VISA,CLASSIC,CAN_THO_1,22947726,7025215,15922511
168,133,CA-2022-0000168,5*** **** **** 8920,JCB,CLASSIC,BR-HN01,20609127,18212712,2396415
169,134,CA-2023-0000169,4*** **** **** 8895,MASTERCARD,INFINITE,CT-01,707315047,200499661,506815386
170,134,CA-2023-0000170,5*** **** **** 9275,JCB,INFINITE,CT-01,793324795,119048468,674276327
171,135,CA-2020-0000171,5*** **** **** 2519,VISA,PLATINUM,BR-HCM02,270617660,130192450,140425210
172,135,CA-2023-0000172,5*** **** **** 3374,JCB,PLATINUM,Ho Chi Minh Q3,253540159,151942178,101597981
173,136,CA-2021-0000173,5*** **** **** 5054,MASTERCARD,PLATINUM,CN-HCM-01,238466296,208579098,29887198
174,136,CA-2020-0000174,4*** **** **** 0048,MASTERCARD,GOLD,HCM_Q1,99336718,61857757,37478961
175,137,CA-2024-0000175,4*** **** **** 0746,JCB,INFINITE,Da Nang CN1,496117003,269559341,226557662
176,137,CA-2023-0000176,4*** **** **** 0297,MASTERCARD,CLASSIC,Da Nang CN1,39354713,23399668,15955045
177,138,CA-2021-0000177,5*** **** **** 2956,MASTERCARD,PLATINUM,CT-01,244667107,169147327,75519780
178,138,CA-2022-0000178,4*** **** **** 6398,VISA,CLASSIC,BR-CT01,25373393,9397760,15975633
179,139,CA-2021-0000179,4*** **** **** 7876,VISA,GOLD,Da Nang CN1,137391253,103877545,33513708
180,139,CA-2021-0000180,5*** **** **** 5747,JCB,GOLD,Da Nang CN1,92072000,3690329,88381671
181,140,CA-2024-0000181,4*** **** **** 0756,VISA,GOLD,HA_NOI_CN1,107334678,22360844,84973834
182,141,CA-2024-0000182,5*** **** **** 4267,MASTERCARD,INFINITE,HAI_PHONG_1,594450109,120989859,473460250
183,142,CA-2020-0000183,5*** **** **** 6569,MASTERCARD,INFINITE,Da Nang CN1,746081212,346847538,399233674
184,143,CA-2021-0000184,4*** **** **** 7726,JCB,INFINITE,HCM_Q3,315064703,206147190,108917513
185,144,CA-2023-0000185,5*** **** **** 3861,VISA,INFINITE,DA_NANG_1,397384677,6887612,390497065
186,145,CA-2022-0000186,4*** **** **** 8255,VISA,INFINITE,DA_NANG_1,704955051,72730591,632224460
187,145,CA-2022-0000187,5*** **** **** 3143,VISA,INFINITE,Da Nang CN1,584587920,501344256,83243664
188,146,CA-2023-0000188,5*** **** **** 5713,VISA,CLASSIC,Da Nang CN1,42472038,31354015,11118023
189,147,CA-2023-0000189,4*** **** **** 0088,MASTERCARD,GOLD,HN-01,140584393,64526453,76057940
190,148,CA-2024-0000190,4*** **** **** 3819,JCB,PLATINUM,Can Tho CN1,152883566,99451730,53431836
191,149,CA-2023-0000191,4*** **** **** 2798,MASTERCARD,CLASSIC,DA_NANG_1,31161519,4386641,26774878
192,150,CA-2021-0000192,4*** **** **** 6126,VISA,CLASSIC,CN-HCM-02,31258311,10146982,21111329
193,151,CA-2020-0000193,4*** **** **** 9369,JCB,GOLD,Ha Noi CN1,60563396,21341741,39221655
194,151,CA-2024-0000194,4*** **** **** 4867,JCB,GOLD,HA_NOI_CN1,126951005,34799057,92151948
195,152,CA-2022-0000195,4*** **** **** 4449,MASTERCARD,CLASSIC,BR-DN01,44364211,9224037,35140174
196,152,CA-2021-0000196,5*** **** **** 8306,JCB,GOLD,BR-DN01,104109805,84379829,19729976
197,153,CA-2023-0000197,5*** **** **** 8437,VISA,PLATINUM,BR-CT01,176994894,25507957,151486937
198,154,CA-2024-0000198,4*** **** **** 0163,MASTERCARD,PLATINUM,CAN_THO_1,165028393,133599529,31428864
199,154,CA-2024-0000199,5*** **** **** 3785,JCB,GOLD,Can Tho CN1,59128886,37909324,21219562
200,155,CA-2023-0000200,5*** **** **** 9576,JCB,PLATINUM,BR-HCM02,258223236,210361801,47861435
201,155,CA-2024-0000201,4*** **** **** 7251,MASTERCARD,INFINITE,HCM_Q3,319541338,204860427,114680911
202,156,CA-2023-0000202,4*** **** **** 3875,JCB,PLATINUM,BR-HCM02,162322665,143269489,19053176
203,156,CA-2021-0000203,5*** **** **** 4680,VISA,PLATINUM,CN-HCM-02,191742905,58706144,133036761
204,157,CA-2021-0000204,5*** **** **** 8138,MASTERCARD,CLASSIC,BR-CT01,38949442,24116719,14832723
205,158,CA-2021-0000205,4*** **** **** 1361,MASTERCARD,INFINITE,Hai Phong CN1,517852357,29405382,488446975
206,159,CA-2023-0000206,4*** **** **** 4748,MASTERCARD,PLATINUM,Hai Phong CN1,235475694,120159747,115315947
207,160,CA-2022-0000207,5*** **** **** 6108,JCB,PLATINUM,DN-01,184672513,112520319,72152194
208,160,CA-2020-0000208,5*** **** **** 4613,JCB,CLASSIC,DA_NANG_1,49999647,30915187,19084460
209,161,CA-2021-0000209,4*** **** **** 9341,JCB,CLASSIC,BR-HCM01,43925561,33390324,10535237
210,162,CA-2022-0000210,4*** **** **** 0589,VISA,INFINITE,HCM_Q1,741968055,460839618,281128437
211,163,CA-2022-0000211,5*** **** **** 9367,MASTERCARD,INFINITE,BR-CT01,594157534,28486037,565671497
212,164,CA-2021-0000212,4*** **** **** 2900,JCB,PLATINUM,DN-01,246541673,19709375,226832298
213,165,CA-2024-0000213,4*** **** **** 3388,MASTERCARD,INFINITE,BR-HP01,713464364,138312157,575152207
214,166,CA-2023-0000214,5*** **** **** 3853,VISA,PLATINUM,BR-HN01,284927773,48432620,236495153
215,166,CA-2023-0000215,5*** **** **** 5997,VISA,INFINITE,Ha Noi CN1,529507304,365188179,164319125
216,167,CA-2023-0000216,5*** **** **** 0296,JCB,PLATINUM,CN-HCM-02,190183422,28797059,161386363
217,168,CA-2024-0000217,5*** **** **** 3428,JCB,PLATINUM,BR-HCM01,262716610,77467836,185248774
218,168,CA-2023-0000218,5*** **** **** 0511,MASTERCARD,INFINITE,Ho Chi Minh Q1,627767056,161363581,466403475
219,169,CA-2022-0000219,5*** **** **** 4120,MASTERCARD,INFINITE,Ho Chi Minh Q1,460642941,350405259,110237682
220,169,CA-2023-0000220,4*** **** **** 1289,JCB,INFINITE,BR-HCM01,474825640,172300219,302525421
221,170,CA-2023-0000221,4*** **** **** 4801,MASTERCARD,PLATINUM,BR-HP01,259086489,12754695,246331794
222,170,CA-2020-0000222,5*** **** **** 3807,VISA,PLATINUM,BR-HP01,290455016,75562822,214892194
223,171,CA-2023-0000223,4*** **** **** 5126,VISA,INFINITE,HAI_PHONG_1,497494127,59140503,438353624
224,172,CA-2023-0000224,5*** **** **** 2148,VISA,CLASSIC,BR-DN01,36831039,7524982,29306057
225,173,CA-2021-0000225,4*** **** **** 1333,VISA,GOLD,Hai Phong CN1,128792535,79075577,49716958
226,173,CA-2024-0000226,4*** **** **** 3837,JCB,PLATINUM,Hai Phong CN1,244004814,199807416,44197398
227,174,CA-2022-0000227,5*** **** **** 6946,JCB,INFINITE,CT-01,576468105,241249499,335218606
228,175,CA-2021-0000228,5*** **** **** 5096,MASTERCARD,INFINITE,HN-01,646717936,46458536,600259400
229,176,CA-2020-0000229,4*** **** **** 4167,VISA,INFINITE,HN-01,360868833,216403553,144465280
230,176,CA-2023-0000230,5*** **** **** 8899,VISA,PLATINUM,BR-HN01,293780234,143594265,150185969
231,177,CA-2021-0000231,4*** **** **** 1717,MASTERCARD,INFINITE,Hai Phong CN1,565636594,23298917,542337677
232,178,CA-2024-0000232,4*** **** **** 6200,VISA,PLATINUM,Ho Chi Minh Q3,159334959,55727401,103607558
233,178,CA-2021-0000233,4*** **** **** 7532,MASTERCARD,INFINITE,CN-HCM-02,621765966,71310828,550455138
234,179,CA-2021-0000234,4*** **** **** 0048,MASTERCARD,PLATINUM,BR-HP01,231198015,27238879,203959136
235,180,CA-2021-0000235,4*** **** **** 6879,VISA,GOLD,BR-DN01,95922464,38515324,57407140
236,181,CA-2021-0000236,4*** **** **** 8895,JCB,GOLD,HP-01,67349354,15507046,51842308
237,182,CA-2023-0000237,4*** **** **** 5831,JCB,PLATINUM,HCM_Q1,153161153,34878520,118282633
238,183,CA-2024-0000238,5*** **** **** 5187,VISA,GOLD,BR-HP01,114687508,47717772,66969736
239,184,CA-2023-0000239,5*** **** **** 3097,MASTERCARD,PLATINUM,DA_NANG_1,254443088,108381345,146061743
240,185,CA-2020-0000240,4*** **** **** 7039,MASTERCARD,GOLD,DA_NANG_1,117874383,18827911,99046472
241,186,CA-2023-0000241,5*** **** **** 1036,VISA,PLATINUM,Hai Phong CN1,194604538,86954098,107650440
242,187,CA-2020-0000242,5*** **** **** 9359,JCB,GOLD,Ha Noi CN1,123106532,30853100,92253432
243,188,CA-2022-0000243,5*** **** **** 6680,VISA,CLASSIC,BR-CT01,27020383,23913207,3107176
